Name,Method_Name__c,Found_In__c,Unique_Identiier__c,Is Encounter
Method13,Class51.Method13,Class1.Method1,Class1.Method1 | Class51.Method13,#VALUE!
Method1,Class1.Method1,Class2.Method9,Class2.Method9 | Class1.Method1,#VALUE!
Method1,Class1.Method1,Class3.Method12,Class3.Method12 | Class1.Method1,#VALUE!
Method1,Class1.Method1,Class3.updateCasesForNonAssessable,Class3.updateCasesForNonAssessable | Class1.Method1,#VALUE!
Method1,Class1.Method1,Class4.Method25,Class4.Method25 | Class1.Method1,#VALUE!
Method1,Class1.Method1,Class4.Method23,Class4.Method23 | Class1.Method1,#VALUE!
Method1,Class1.Method1,Class4.Method6,Class4.Method6 | Class1.Method1,#VALUE!
Method1,Class1.Method1,Class5.createOrUpdateCOR,Class5.createOrUpdateCOR | Class1.Method1,#VALUE!
Method1,Class1.Method1,Class6.cancelValuation,Class6.cancelValuation | Class1.Method1,#VALUE!
Method1,Class1.Method1,Class6.cancelPILeasingValuation,Class6.cancelPILeasingValuation | Class1.Method1,#VALUE!
Method1,Class1.Method1,Class7.assessmentPenaltyForNonAssess,Class7.assessmentPenaltyForNonAssess | Class1.Method1,#VALUE!
Method1,Class1.Method1,Class8.performOperations,Class8.performOperations | Class1.Method1,#VALUE!
Method1,Class1.Method1,Class9.Method24,Class9.Method24 | Class1.Method1,#VALUE!
Method7,Class1.Method7,Class1.upsertEscapesOrRollCorrections,Class1.upsertEscapesOrRollCorrections | Class1.Method7,#VALUE!
Method7,Class1.Method7,Class1.Method1,Class1.Method1 | Class1.Method7,#VALUE!
Method7,Class1.Method7,Class1.createorUpdateCORForDemolition,Class1.createorUpdateCORForDemolition | Class1.Method7,#VALUE!
Method7,Class1.Method7,Class10.createAssessmentForSplit,Class10.createAssessmentForSplit | Class1.Method7,#VALUE!
Method7,Class1.Method7,Class10.createAssessmentForMerge,Class10.createAssessmentForMerge | Class1.Method7,#VALUE!
Method7,Class1.Method7,Class11.handleRetireLeaseImpactOnAssessments,Class11.handleRetireLeaseImpactOnAssessments | Class1.Method7,#VALUE!
Method7,Class1.Method7,Class12.createUpdateChildParcelOwnership,Class12.createUpdateChildParcelOwnership | Class1.Method7,#VALUE!
Method7,Class1.Method7,Class2.Method10,Class2.Method10 | Class1.Method7,#VALUE!
Method7,Class1.Method7,Class3.generateFMVAssessmentForPenalty,Class3.generateFMVAssessmentForPenalty | Class1.Method7,#VALUE!
Method7,Class1.Method7,Class3.generateFMVAssessmentAsync,Class3.generateFMVAssessmentAsync | Class1.Method7,#VALUE!
Method7,Class1.Method7,Class3.updateCasesForNonAssessable,Class3.updateCasesForNonAssessable | Class1.Method7,#VALUE!
Method7,Class1.Method7,Class13.createEscapeAssessment,Class13.createEscapeAssessment | Class1.Method7,#VALUE!
Method7,Class1.Method7,Class13.generateRelatedCOR,Class13.generateRelatedCOR | Class1.Method7,#VALUE!
Method7,Class1.Method7,Class14.calculateAssessments,Class14.calculateAssessments | Class1.Method7,#VALUE!
Method7,Class1.Method7,Class14.createCaseOwnershipRecords,Class14.createCaseOwnershipRecords | Class1.Method7,#VALUE!
Method7,Class1.Method7,Class5.Method10,Class5.Method10 | Class1.Method7,#VALUE!
Method7,Class1.Method7,Class47.processClass47,Class47.processClass47 | Class1.Method7,#VALUE!
Method7,Class1.Method7,Class6.cancelValuation,Class6.cancelValuation | Class1.Method7,#VALUE!
Method7,Class1.Method7,Class6.cancelPILeasingValuation,Class6.cancelPILeasingValuation | Class1.Method7,#VALUE!
Method7,Class1.Method7,Class15.Method10,Class15.Method10 | Class1.Method7,#VALUE!
Method7,Class1.Method7,Class15.createCOROrAPEForAssessment,Class15.createCOROrAPEForAssessment | Class1.Method7,#VALUE!
Method7,Class1.Method7,Class7.inputParameterForEscape,Class7.inputParameterForEscape | Class1.Method7,#VALUE!
Method7,Class1.Method7,Class7.createCorForLegacyAssessment,Class7.createCorForLegacyAssessment | Class1.Method7,#VALUE!
Method7,Class1.Method7,Class16.CreateAssessmentForRescission,Class16.CreateAssessmentForRescission | Class1.Method7,#VALUE!
Method7,Class1.Method7,Class16.manageCORForNewOwner,Class16.manageCORForNewOwner | Class1.Method7,#VALUE!
Method7,Class1.Method7,Class16.approveEventAssessment,Class16.approveEventAssessment | Class1.Method7,#VALUE!
Method7,Class1.Method7,Class8.updateAssessedValuesForExemptions,Class8.updateAssessedValuesForExemptions | Class1.Method7,#VALUE!
Method7,Class1.Method7,Class9.Method24,Class9.Method24 | Class1.Method7,#VALUE!
Method8,Class1.Method8,Class3.Method23,Class3.Method23 | Class1.Method8,#VALUE!
Method8,Class1.Method8,Class4.Method25,Class4.Method25 | Class1.Method8,#VALUE!
Method8,Class1.Method8,Class4.Method23,Class4.Method23 | Class1.Method8,#VALUE!
