Name,Method_Name__c,Found_In__c,Unique_Identiier__c
updatePrimaryOnOwnership,RPOwnershipHandler.updatePrimaryOnOwnership,RPOwnershipHandler.afterUpdateProcessing,RPOwnershipHandler.afterUpdateProcessing | RPOwnershipHandler.updatePrimaryOnOwnership
updatePrimaryBasedOnOwnershipPercent,RPOwnershipHandler.updatePrimaryBasedOnOwnershipPercent,RPOwnershipHandler.beforeUpdateProcessing,RPOwnershipHandler.beforeUpdateProcessing | RPOwnershipHandler.updatePrimaryBasedOnOwnershipPercent
updatePrimaryOnPIOwnership,RPOwnershipHandler.updatePrimaryOnPIOwnership,RPOwnershipHandler.afterInsertProcessing,RPOwnershipHandler.afterInsertProcessing | RPOwnershipHandler.updatePrimaryOnPIOwnership
updatePrimaryOnPIOwnership,RPOwnershipHandler.updatePrimaryOnPIOwnership,RPOwnershipHandler.afterUpdateProcessing,RPOwnershipHandler.afterUpdateProcessing | RPOwnershipHandler.updatePrimaryOnPIOwnership
getJobNamePrefix,IssuedPermitsToPropertyEventSchedular.getJobNamePrefix,EnhancedSchedulable.abortJobsWithJobNamePrefix,EnhancedSchedulable.abortJobsWithJobNamePrefix | IssuedPermitsToPropertyEventSchedular.getJobNamePrefix
getJobNamePrefix,IssuedPermitsToPropertyEventSchedular.getJobNamePrefix,EnhancedSchedulable.scheduleHourly,EnhancedSchedulable.scheduleHourly | IssuedPermitsToPropertyEventSchedular.getJobNamePrefix
getJobNamePrefix,IssuedPermitsToPropertyEventSchedular.getJobNamePrefix,EnhancedSchedulable.scheduleDaily,EnhancedSchedulable.scheduleDaily | IssuedPermitsToPropertyEventSchedular.getJobNamePrefix
getJobNamePrefix,IssuedPermitsToPropertyEventSchedular.getJobNamePrefix,EnhancedSchedulable.scheduleOnceNow,EnhancedSchedulable.scheduleOnceNow | IssuedPermitsToPropertyEventSchedular.getJobNamePrefix
processrecords,PermitStagingBatchHelper.processrecords,CreateIssuedPermitsToPropertyEventBatch.execute,CreateIssuedPermitsToPropertyEventBatch.execute | PermitStagingBatchHelper.processrecords
processrecords,PermitStagingBatchHelper.processrecords,CreateStatusUpdatesToPropertyEventBatch.execute,CreateStatusUpdatesToPropertyEventBatch.execute | PermitStagingBatchHelper.processrecords
processrecords,PermitStagingBatchHelper.processrecords,CreateInspectionNotesInPEBatch.execute,CreateInspectionNotesInPEBatch.execute | PermitStagingBatchHelper.processrecords
processrecords,PermitStagingBatchHelper.processrecords,BatchRecorderStagingReindexedRecords.execute,BatchRecorderStagingReindexedRecords.execute | PermitStagingBatchHelper.processrecords
processrecords,PermitStagingBatchHelper.processrecords,BatchRecorderStagingToPropertyEvents.execute,BatchRecorderStagingToPropertyEvents.execute | PermitStagingBatchHelper.processrecords
validateDateFormat,PermitStagingBatchHelper.validateDateFormat,PermitStagingStatusUpdateHelper.checkFieldValidations,PermitStagingStatusUpdateHelper.checkFieldValidations | PermitStagingBatchHelper.validateDateFormat
validateDateFormat,PermitStagingBatchHelper.validateDateFormat,PermitStagingStatusUpdateHelper.transformToPropertyEvents,PermitStagingStatusUpdateHelper.transformToPropertyEvents | PermitStagingBatchHelper.validateDateFormat
validateDateFormat,PermitStagingBatchHelper.validateDateFormat,PermitStagingInspectionNotesHelper.checkFieldValidations,PermitStagingInspectionNotesHelper.checkFieldValidations | PermitStagingBatchHelper.validateDateFormat
updatePropertyEvent,ReOpenPropertyEventController.updatePropertyEvent,NCPropertyEventHandler.createValuationFromSelectedPv,NCPropertyEventHandler.createValuationFromSelectedPv | ReOpenPropertyEventController.updatePropertyEvent
checkForCompletionDate,ReOpenPropertyEventController.checkForCompletionDate,cancelTransactionController.checkForCompletionDate,cancelTransactionController.checkForCompletionDate | ReOpenPropertyEventController.checkForCompletionDate
checkforPvVaues,ReOpenPropertyEventController.checkforPvVaues,NCPropertyEventHandler.createValuationFromSelectedPv,NCPropertyEventHandler.createValuationFromSelectedPv | ReOpenPropertyEventController.checkforPvVaues
handleErrors,BatchToDeleteOldPermitStaging.handleErrors,BatchApexErrorEvents.handle,BatchApexErrorEvents.handle | BatchToDeleteOldPermitStaging.handleErrors
createParcelManagementRecordFromCaseRecord,ParcelManagementCaseHandler.createParcelManagementRecordFromCaseRecord,ParcelManagementCaseHandler.afterInsertProcessing,ParcelManagementCaseHandler.afterInsertProcessing | ParcelManagementCaseHandler.createParcelManagementRecordFromCaseRecord
executeBeforeInsert,ParcelManagementHandler.executeBeforeInsert,TriggerHandler.executeCustomCode,TriggerHandler.executeCustomCode | ParcelManagementHandler.executeBeforeInsert
executeBeforeUpdate,ParcelManagementHandler.executeBeforeUpdate,TriggerHandler.executeCustomCode,TriggerHandler.executeCustomCode | ParcelManagementHandler.executeBeforeUpdate
setDefaultSubStatusPerRecordTypeStatusCombo,ParcelManagementHandler.setDefaultSubStatusPerRecordTypeStatusCombo,ParcelManagementHandler.executeBeforeUpdate,ParcelManagementHandler.executeBeforeUpdate | ParcelManagementHandler.setDefaultSubStatusPerRecordTypeStatusCombo
executeAfterUpdate,ParcelManagementHandler.executeAfterUpdate,TriggerHandler.executeCustomCode,TriggerHandler.executeCustomCode | ParcelManagementHandler.executeAfterUpdate
createTasksForOpenExemptions,ParcelManagementHandler.createTasksForOpenExemptions,ParcelManagementHandler.executeAfterUpdate,ParcelManagementHandler.executeAfterUpdate | ParcelManagementHandler.createTasksForOpenExemptions
createParcelGenealogyRecords,ParcelManagementHandler.createParcelGenealogyRecords,ParcelManagementHandler.executeAfterUpdate,ParcelManagementHandler.executeAfterUpdate | ParcelManagementHandler.createParcelGenealogyRecords
setStatusAsOnHold,ParcelManagementHandler.setStatusAsOnHold,ParcelManagementHandler.executeBeforeUpdate,ParcelManagementHandler.executeBeforeUpdate | ParcelManagementHandler.setStatusAsOnHold
